Tecnologia,Execução,Distância (m),Dispositivos,Pacotes Enviados,Pacotes Recebidos,Pacotes Duplicados,PDR (%),PLR (%),Retransmissão (%),Vazão (bps),Utilização do Canal (%),Atraso Médio (s),Banda Utilizada (kHz),Consumo Energia (J)
SIGFOX,8,3000,10000,100000,85000,0,85,15,13,8500000,100,12,325,110
NBIOT,6,15000,500,5000,4950,0,99,1,13,495000,26,1,138,33
SIGFOX,1,5000,10,100,95,0,95,5,13,9500,20,2,126,10
SIGFOX,2,10000,30000,300000,195000,0,65,35,17,19500000,100,33,727,311
NBIOT,8,30000,10,100,99,0,99,1,8,9900,23,2,131,26
LORAWAN,5,30000,10000,100000,83000,0,83,17,12,8300000,100,9,331,143
SIGFOX,7,5000,10,100,95,0,95,5,9,9500,20,2,126,10
SIGFOX,4,5000,10,100,95,0,95,5,6,9500,20,2,126,10
NBIOT,8,5000,500,5000,5000,0,100,0,15,500000,25,1,136,31
NBIOT,9,3000,100,1000,1000,0,100,0,6,100000,21,1,127,22
LORAWAN,7,30000,5000,50000,44500,0,89,11,7,4450000,73,6,231,80
SIGFOX,6,3000,5000,50000,45000,0,90,10,5,4500000,70,7,225,60
NBIOT,3,3000,30000,300000,255000,0,85,15,6,25500000,100,11,725,620
NBIOT,9,3000,10000,100000,95000,0,95,5,19,9500000,100,4,325,220
NBIOT,4,15000,5000,50000,48500,0,97,3,15,4850000,71,2,228,123
LORAWAN,6,5000,50000,500000,250000,0,50,50,8,25000000,100,34,1000,640
NBIOT,8,15000,30000,300000,252000,0,84,16,14,25200000,100,11,728,623
LORAWAN,6,30000,50000,500000,250000,0,50,50,5,25000000,100,36,1000,643
SIGFOX,7,15000,500,5000,4650,0,93,7,16,465000,26,3,138,16
SIGFOX,5,30000,30000,300000,189000,0,63,37,10,18900000,100,35,731,313
NBIOT,7,15000,30000,300000,252000,0,84,16,19,25200000,100,11,728,623
NBIOT,4,10000,500,5000,5000,0,100,0,7,500000,26,1,137,32
NBIOT,3,10000,10,100,100,0,100,0,11,10000,21,1,127,22
NBIOT,5,50000,5000,50000,48000,0,96,4,5,4800000,75,4,235,130
NBIOT,10,50000,10,100,98,0,98,2,8,9800,25,3,135,30
SIGFOX,1,50000,50000,500000,250000,0,50,50,19,25000000,100,57,1000,515
SIGFOX,4,10000,5000,50000,45000,0,90,10,15,4500000,71,8,227,61
NBIOT,9,10000,10,100,100,0,100,0,9,10000,21,1,127,22
SIGFOX,9,15000,30000,300000,189000,0,63,37,16,18900000,100,33,728,311
NBIOT,9,50000,10,100,98,0,98,2,19,9800,25,3,135,30
SIGFOX,6,10000,30000,300000,195000,0,65,35,16,19500000,100,33,727,311
NBIOT,9,5000,30000,300000,255000,0,85,15,18,25500000,100,11,726,621
LORAWAN,3,15000,10000,100000,83000,0,83,17,10,8300000,100,8,328,141
SIGFOX,3,5000,10,100,95,0,95,5,18,9500,20,2,126,10
SIGFOX,6,10000,50000,500000,250000,0,50,50,19,25000000,100,53,1000,511
NBIOT,7,15000,1000,10000,9900,0,99,1,18,990000,31,1,148,43
LORAWAN,2,10000,500,5000,4800,0,96,4,12,480000,26,1,137,22
LORAWAN,6,30000,30000,300000,174000,0,58,42,8,17400000,100,23,731,393
SIGFOX,1,3000,500,5000,4750,0,95,5,5,475000,25,2,135,15
SIGFOX,5,15000,1000,10000,9200,0,92,8,9,920000,31,4,148,21
LORAWAN,10,30000,30000,300000,174000,0,58,42,13,17400000,100,23,731,393
LORAWAN,5,15000,30000,300000,174000,0,58,42,16,17400000,100,22,728,391
SIGFOX,10,10000,10,100,95,0,95,5,16,9500,21,3,127,11
NBIOT,9,10000,30000,300000,255000,0,85,15,10,25500000,100,11,727,622
NBIOT,10,30000,30000,300000,252000,0,84,16,6,25200000,100,12,731,626
LORAWAN,9,50000,1000,10000,9300,0,93,7,6,930000,35,4,155,33
SIGFOX,6,5000,5000,50000,45000,0,90,10,6,4500000,70,7,226,60
NBIOT,6,15000,10000,100000,94000,0,94,6,17,9400000,100,4,328,223
LORAWAN,6,50000,500,5000,4700,0,94,6,13,470000,30,4,145,27
SIGFOX,9,10000,5000,50000,45000,0,90,10,15,4500000,71,8,227,61
LORAWAN,1,3000,5000,50000,45000,0,90,10,16,4500000,70,4,225,77
SIGFOX,4,50000,30000,300000,183000,0,61,39,16,18300000,100,37,735,315
SIGFOX,8,15000,30000,300000,189000,0,63,37,6,18900000,100,33,728,311
NBIOT,4,30000,100,1000,990,0,99,1,18,99000,24,2,133,28
NBIOT,2,30000,100,1000,990,0,99,1,8,99000,24,2,133,28
LORAWAN,1,15000,100,1000,950,0,95,5,19,95000,22,2,130,17
SIGFOX,2,15000,100,1000,930,0,93,7,16,93000,22,3,130,12
NBIOT,3,5000,500,5000,5000,0,100,0,13,500000,25,1,136,31
LORAWAN,2,15000,50000,500000,250000,0,50,50,7,25000000,100,35,1000,641
SIGFOX,4,5000,50000,500000,250000,0,50,50,16,25000000,100,52,1000,510
SIGFOX,1,15000,30000,300000,189000,0,63,37,13,18900000,100,33,728,311
SIGFOX,3,50000,30000,300000,183000,0,61,39,6,18300000,100,37,735,315
NBIOT,7,5000,5000,50000,49000,0,98,2,9,4900000,70,2,226,121
NBIOT,1,3000,1000,10000,10000,0,100,0,18,1000000,30,1,145,40
NBIOT,3,50000,100,1000,980,0,98,2,13,98000,26,3,137,32
LORAWAN,9,5000,5000,50000,45000,0,90,10,8,4500000,70,4,226,77
SIGFOX,8,5000,1000,10000,9400,0,94,6,13,940000,30,3,146,20
NBIOT,3,5000,1000,10000,10000,0,100,0,16,1000000,30,1,146,41
SIGFOX,7,50000,1000,10000,9000,0,90,10,19,900000,35,8,155,25
NBIOT,2,10000,50000,500000,375000,0,75,25,16,37500000,100,17,1000,1022
LORAWAN,9,5000,50000,500000,250000,0,50,50,13,25000000,100,34,1000,640
NBIOT,9,50000,50000,500000,365000,0,73,27,5,36500000,100,19,1000,1030
SIGFOX,4,3000,30000,300000,195000,0,65,35,6,19500000,100,32,725,310
SIGFOX,2,10000,10,100,95,0,95,5,10,9500,21,3,127,11
SIGFOX,7,3000,50000,500000,250000,0,50,50,10,25000000,100,52,1000,510
SIGFOX,1,15000,500,5000,4650,0,93,7,5,465000,26,3,138,16
NBIOT,10,5000,30000,300000,255000,0,85,15,18,25500000,100,11,726,621
SIGFOX,8,30000,30000,300000,189000,0,63,37,10,18900000,100,35,731,313
LORAWAN,5,5000,30000,300000,177000,0,59,41,14,17700000,100,21,726,390
NBIOT,8,50000,50000,500000,365000,0,73,27,15,36500000,100,19,1000,1030
LORAWAN,2,3000,1000,10000,9500,0,95,5,9,950000,30,1,145,27
LORAWAN,5,3000,50000,500000,250000,0,50,50,18,25000000,100,34,1000,640
LORAWAN,5,3000,10,100,96,0,96,4,19,9600,20,1,125,15
LORAWAN,8,3000,10,100,96,0,96,4,12,9600,20,1,125,15
NBIOT,5,15000,10,100,99,0,99,1,6,9900,21,1,128,23
NBIOT,5,5000,10000,100000,95000,0,95,5,18,9500000,100,4,326,221
LORAWAN,4,3000,30000,300000,177000,0,59,41,10,17700000,100,21,725,390
NBIOT,3,50000,5000,50000,48000,0,96,4,12,4800000,75,4,235,130
NBIOT,5,15000,50000,500000,370000,0,74,26,16,37000000,100,17,1000,1023
LORAWAN,7,5000,50000,500000,250000,0,50,50,6,25000000,100,34,1000,640
LORAWAN,3,50000,10000,100000,82000,0,82,18,19,8200000,100,10,335,146
NBIOT,2,50000,10000,100000,93000,0,93,7,16,9300000,100,6,335,230
SIGFOX,10,30000,30000,300000,189000,0,63,37,17,18900000,100,35,731,313
LORAWAN,3,10000,500,5000,4800,0,96,4,10,480000,26,1,137,22
NBIOT,7,50000,30000,300000,249000,0,83,17,12,24900000,100,13,735,630
LORAWAN,9,5000,10000,100000,84000,0,84,16,14,8400000,100,7,326,140
LORAWAN,2,3000,5000,50000,45000,0,90,10,13,4500000,70,4,225,77
SIGFOX,5,3000,30000,300000,195000,0,65,35,9,19500000,100,32,725,310
LORAWAN,2,15000,30000,300000,174000,0,58,42,6,17400000,100,22,728,391
LORAWAN,4,30000,30000,300000,174000,0,58,42,15,17400000,100,23,731,393
LORAWAN,8,5000,50000,500000,250000,0,50,50,7,25000000,100,34,1000,640
SIGFOX,4,15000,500,5000,4650,0,93,7,12,465000,26,3,138,16
SIGFOX,3,50000,5000,50000,43000,0,86,14,6,4300000,75,12,235,65
NBIOT,7,10000,30000,300000,255000,0,85,15,9,25500000,100,11,727,622
SIGFOX,10,5000,100,1000,950,0,95,5,16,95000,21,2,128,11
SIGFOX,3,15000,100,1000,930,0,93,7,14,93000,22,3,130,12
LORAWAN,3,5000,500,5000,4800,0,96,4,17,480000,25,1,136,21
LORAWAN,7,30000,10,100,95,0,95,5,16,9500,23,3,131,18
LORAWAN,1,50000,30000,300000,171000,0,57,43,9,17100000,100,24,735,396
LORAWAN,7,10000,10,100,96,0,96,4,12,9600,21,1,127,16
NBIOT,1,30000,500,5000,4950,0,99,1,10,495000,28,2,141,36
NBIOT,3,5000,100,1000,1000,0,100,0,7,100000,21,1,128,23
LORAWAN,8,30000,50000,500000,250000,0,50,50,9,25000000,100,36,1000,643
SIGFOX,6,10000,500,5000,4750,0,95,5,10,475000,26,3,137,16
LORAWAN,2,5000,500,5000,4800,0,96,4,10,480000,25,1,136,21
LORAWAN,7,3000,1000,10000,9500,0,95,5,13,950000,30,1,145,27
NBIOT,5,3000,1000,10000,10000,0,100,0,18,1000000,30,1,145,40
SIGFOX,9,15000,500,5000,4650,0,93,7,8,465000,26,3,138,16
NBIOT,5,5000,1000,10000,10000,0,100,0,11,1000000,30,1,146,41
NBIOT,1,3000,500,5000,5000,0,100,0,18,500000,25,1,135,30
NBIOT,9,3000,50000,500000,375000,0,75,25,12,37500000,100,17,1000,1020
LORAWAN,4,50000,50000,500000,250000,0,50,50,14,25000000,100,37,1000,646
SIGFOX,10,3000,10000,100000,85000,0,85,15,18,8500000,100,12,325,110
SIGFOX,5,3000,100,1000,950,0,95,5,17,95000,21,2,127,11
SIGFOX,8,10000,30000,300000,195000,0,65,35,16,19500000,100,33,727,311
LORAWAN,7,10000,50000,500000,250000,0,50,50,8,25000000,100,34,1000,641
SIGFOX,5,15000,5000,50000,44000,0,88,12,19,4400000,71,8,228,61
NBIOT,1,5000,1000,10000,10000,0,100,0,9,1000000,30,1,146,41
LORAWAN,4,15000,30000,300000,174000,0,58,42,17,17400000,100,22,728,391
SIGFOX,6,50000,10,100,91,0,91,9,18,9100,25,7,135,15
SIGFOX,9,15000,1000,10000,9200,0,92,8,16,920000,31,4,148,21
SIGFOX,7,10000,5000,50000,45000,0,90,10,8,4500000,71,8,227,61
LORAWAN,6,30000,10000,100000,83000,0,83,17,15,8300000,100,9,331,143
SIGFOX,1,10000,10000,100000,85000,0,85,15,10,8500000,100,13,327,111
SIGFOX,10,10000,100,1000,950,0,95,5,19,95000,22,3,129,12
LORAWAN,4,30000,500,5000,4750,0,95,5,7,475000,28,3,141,24
LORAWAN,10,30000,500,5000,4750,0,95,5,5,475000,28,3,141,24
LORAWAN,1,15000,500,5000,4750,0,95,5,7,475000,26,2,138,22
LORAWAN,3,15000,1000,10000,9400,0,94,6,8,940000,31,2,148,28
NBIOT,1,15000,50000,500000,370000,0,74,26,11,37000000,100,17,1000,1023
LORAWAN,1,5000,5000,50000,45000,0,90,10,8,4500000,70,4,226,77
NBIOT,9,5000,1000,10000,10000,0,100,0,6,1000000,30,1,146,41
NBIOT,7,10000,50000,500000,375000,0,75,25,9,37500000,100,17,1000,1022
LORAWAN,7,5000,1000,10000,9500,0,95,5,18,950000,30,1,146,27
SIGFOX,7,30000,30000,300000,189000,0,63,37,11,18900000,100,35,731,313
SIGFOX,4,50000,500,5000,4550,0,91,9,6,455000,30,7,145,20
SIGFOX,5,5000,10,100,95,0,95,5,18,9500,20,2,126,10
SIGFOX,2,15000,30000,300000,189000,0,63,37,17,18900000,100,33,728,311
NBIOT,10,50000,1000,10000,9800,0,98,2,12,980000,35,3,155,50
SIGFOX,9,15000,100,1000,930,0,93,7,8,93000,22,3,130,12
SIGFOX,9,3000,5000,50000,45000,0,90,10,14,4500000,70,7,225,60
LORAWAN,10,30000,50000,500000,250000,0,50,50,15,25000000,100,36,1000,643
LORAWAN,5,15000,5000,50000,44500,0,89,11,7,4450000,71,5,228,78
NBIOT,9,15000,1000,10000,9900,0,99,1,10,990000,31,1,148,43
NBIOT,7,3000,100,1000,1000,0,100,0,17,100000,21,1,127,22
SIGFOX,2,5000,500,5000,4750,0,95,5,15,475000,25,2,136,15
NBIOT,6,5000,30000,300000,255000,0,85,15,12,25500000,100,11,726,621
SIGFOX,8,3000,50000,500000,250000,0,50,50,12,25000000,100,52,1000,510
NBIOT,6,30000,1000,10000,9900,0,99,1,7,990000,33,2,151,46
SIGFOX,9,50000,10000,100000,81000,0,81,19,5,8100000,100,17,335,115
LORAWAN,10,15000,10,100,95,0,95,5,14,9500,21,2,128,16
LORAWAN,10,50000,500,5000,4700,0,94,6,12,470000,30,4,145,27
LORAWAN,6,10000,5000,50000,45000,0,90,10,14,4500000,71,4,227,78
LORAWAN,8,30000,10,100,95,0,95,5,9,9500,23,3,131,18
LORAWAN,4,10000,500,5000,4800,0,96,4,19,480000,26,1,137,22
LORAWAN,3,5000,10000,100000,84000,0,84,16,14,8400000,100,7,326,140
LORAWAN,6,10000,10000,100000,84000,0,84,16,11,8400000,100,7,327,141
NBIOT,4,10000,5000,50000,49000,0,98,2,12,4900000,71,2,227,122
LORAWAN,5,30000,100,1000,950,0,95,5,5,95000,24,3,133,19
NBIOT,10,3000,100,1000,1000,0,100,0,14,100000,21,1,127,22
SIGFOX,6,50000,10000,100000,81000,0,81,19,8,8100000,100,17,335,115
LORAWAN,9,3000,50000,500000,250000,0,50,50,10,25000000,100,34,1000,640
NBIOT,1,3000,100,1000,1000,0,100,0,19,100000,21,1,127,22
LORAWAN,9,50000,10000,100000,82000,0,82,18,11,8200000,100,10,335,146
LORAWAN,6,3000,50000,500000,250000,0,50,50,19,25000000,100,34,1000,640
NBIOT,3,30000,100,1000,990,0,99,1,10,99000,24,2,133,28
NBIOT,9,50000,1000,10000,9800,0,98,2,12,980000,35,3,155,50
SIGFOX,2,15000,50000,500000,250000,0,50,50,7,25000000,100,53,1000,511
SIGFOX,3,50000,100,1000,910,0,91,9,11,91000,26,7,137,16
NBIOT,8,30000,50000,500000,370000,0,74,26,6,37000000,100,18,1000,1026
NBIOT,6,50000,10,100,98,0,98,2,19,9800,25,3,135,30
LORAWAN,4,5000,10000,100000,84000,0,84,16,11,8400000,100,7,326,140
NBIOT,8,50000,1000,10000,9800,0,98,2,11,980000,35,3,155,50
NBIOT,6,5000,500,5000,5000,0,100,0,9,500000,25,1,136,31
LORAWAN,7,10000,5000,50000,45000,0,90,10,18,4500000,71,4,227,78
SIGFOX,6,10000,100,1000,950,0,95,5,15,95000,22,3,129,12
SIGFOX,3,5000,30000,300000,195000,0,65,35,7,19500000,100,32,726,310
LORAWAN,9,5000,10,100,96,0,96,4,9,9600,20,1,126,15
NBIOT,4,30000,30000,300000,252000,0,84,16,9,25200000,100,12,731,626
NBIOT,9,30000,10000,100000,94000,0,94,6,10,9400000,100,5,331,226
LORAWAN,8,3000,50000,500000,250000,0,50,50,5,25000000,100,34,1000,640
SIGFOX,6,50000,5000,50000,43000,0,86,14,7,4300000,75,12,235,65
LORAWAN,2,3000,500,5000,4800,0,96,4,19,480000,25,1,135,21
NBIOT,5,15000,10000,100000,94000,0,94,6,10,9400000,100,4,328,223
NBIOT,3,15000,5000,50000,48500,0,97,3,17,4850000,71,2,228,123
NBIOT,10,10000,50000,500000,375000,0,75,25,18,37500000,100,17,1000,1022
LORAWAN,7,10000,1000,10000,9500,0,95,5,18,950000,31,1,147,28
NBIOT,5,10000,5000,50000,49000,0,98,2,11,4900000,71,2,227,122
LORAWAN,8,15000,10000,100000,83000,0,83,17,10,8300000,100,8,328,141
LORAWAN,5,30000,30000,300000,174000,0,58,42,15,17400000,100,23,731,393
NBIOT,7,10000,5000,50000,49000,0,98,2,5,4900000,71,2,227,122
NBIOT,10,15000,100,1000,990,0,99,1,11,99000,22,1,130,25
NBIOT,8,10000,5000,50000,49000,0,98,2,13,4900000,71,2,227,122
SIGFOX,10,15000,10,100,93,0,93,7,11,9300,21,3,128,11
SIGFOX,9,5000,5000,50000,45000,0,90,10,13,4500000,70,7,226,60
LORAWAN,9,3000,30000,300000,177000,0,59,41,14,17700000,100,21,725,390
NBIOT,3,3000,500,5000,5000,0,100,0,15,500000,25,1,135,30
SIGFOX,6,15000,5000,50000,44000,0,88,12,17,4400000,71,8,228,61
LORAWAN,6,10000,50000,500000,250000,0,50,50,18,25000000,100,34,1000,641
SIGFOX,8,50000,5000,50000,43000,0,86,14,14,4300000,75,12,235,65
NBIOT,9,5000,500,5000,5000,0,100,0,16,500000,25,1,136,31
NBIOT,3,30000,50000,500000,370000,0,74,26,12,37000000,100,18,1000,1026
NBIOT,10,5000,10000,100000,95000,0,95,5,16,9500000,100,4,326,221
SIGFOX,2,5000,10000,100000,85000,0,85,15,18,8500000,100,12,326,110
LORAWAN,6,10000,1000,10000,9500,0,95,5,10,950000,31,1,147,28
NBIOT,7,10000,100,1000,1000,0,100,0,18,100000,22,1,129,24
LORAWAN,4,15000,5000,50000,44500,0,89,11,10,4450000,71,5,228,78
SIGFOX,4,5000,5000,50000,45000,0,90,10,10,4500000,70,7,226,60
LORAWAN,10,15000,10000,100000,83000,0,83,17,17,8300000,100,8,328,141
NBIOT,10,5000,100,1000,1000,0,100,0,18,100000,21,1,128,23
LORAWAN,3,15000,500,5000,4750,0,95,5,10,475000,26,2,138,22
